Name,Version,License
"@oclif/command","^1.8.16",MIT
"@oclif/config","^1.17.0",MIT
"@oclif/errors","^1.3.4",MIT
"@salesforce/command","^2",Salesforce
"@salesforce/core","^2.24.0",Salesforce
"@salesforce/kit","^1.5.13",Salesforce
"@salesforce/ts-sinon","^1.3.18",Salesforce
"await-spawn","^3.0.0",MIT
"bent","^7.3.12",Apache-2.0
"glob","^7.1.7",ISC
"jsforce","^1.10.1",MIT
"md5-file","^5.0.0",MIT
"mocha","^8.4.0",MIT
"tslib","^1.14.1",0BSD
"xlsx","^0.17.5",Apache-2.0
"xml2js","^0.4.23",MIT
"xmldom","^0.5.0",MIT
"xpath","0.0.32",MIT
